iter	Passed	Remaining
0	47	14093
1	47	7123
2	48	4796
3	49	3633
4	49	2935
5	50	2468
6	51	2135
7	51	1886
8	52	1691
9	52	1535
10	53	1407
11	54	1301
12	54	1210
13	55	1133
14	56	1066
15	56	1006
16	57	954
17	57	907
18	58	866
19	59	829
20	59	795
21	60	764
22	61	735
23	61	709
24	62	686
25	63	664
26	63	643
27	64	624
28	64	606
29	65	589
30	66	573
31	66	559
32	67	545
33	67	531
34	68	519
35	69	507
36	69	496
37	70	485
38	71	475
39	71	465
40	72	456
41	72	447
42	73	439
43	74	431
44	74	423
45	75	416
46	75	409
47	76	402
48	77	395
49	77	388
50	78	382
51	79	376
52	79	370
53	80	365
54	80	360
55	81	354
56	82	349
57	82	345
58	83	340
59	83	335
60	84	331
61	85	326
62	85	322
63	86	318
64	87	314
65	87	310
66	88	306
67	88	303
68	89	299
69	90	295
70	90	292
71	91	289
72	91	285
73	92	282
74	93	279
75	93	276
76	94	273
77	94	270
78	95	267
79	96	264
80	96	261
81	97	258
82	98	256
83	98	253
84	99	251
85	99	248
86	100	246
87	101	243
88	101	240
89	102	238
90	102	236
91	103	233
92	104	231
93	104	229
94	105	227
95	105	225
96	106	222
97	107	220
98	107	218
99	108	216
100	108	214
101	109	212
102	110	210
103	110	208
104	111	206
105	111	204
106	112	203
107	113	201
108	113	199
109	114	197
110	114	195
111	115	194
112	116	192
113	116	190
114	117	188
115	118	187
116	118	185
117	119	183
118	119	182
119	120	180
120	121	179
121	121	177
122	122	175
123	122	174
124	123	172
125	124	171
126	124	169
127	125	168
128	125	166
129	126	165
130	127	164
131	127	162
132	128	161
133	128	159
134	129	158
135	130	156
136	130	155
137	131	154
138	131	152
139	132	151
140	133	150
141	133	148
142	134	147
143	134	146
144	135	144
145	136	143
146	136	142
147	137	140
148	137	139
149	138	138
150	139	137
151	139	136
152	140	134
153	140	133
154	141	132
155	142	131
156	142	129
157	143	128
158	143	127
159	144	126
160	145	125
161	145	124
162	146	122
163	146	121
164	147	120
165	148	119
166	148	118
167	149	117
168	150	116
169	150	115
170	151	114
171	151	113
172	152	111
173	153	110
174	153	109
175	154	108
176	154	107
177	155	106
178	156	105
179	156	104
180	157	103
181	157	102
182	158	101
183	159	100
184	159	99
185	160	98
186	160	97
187	161	96
188	162	95
189	162	94
190	163	93
191	163	92
192	164	91
193	165	90
194	165	89
195	166	88
196	167	87
197	167	86
198	168	85
199	168	84
200	169	83
201	170	82
202	170	81
203	171	80
204	171	79
205	172	78
206	173	77
207	173	76
208	174	75
209	174	74
210	175	74
211	176	73
212	176	72
213	177	71
214	177	70
215	178	69
216	179	68
217	179	67
218	180	66
219	180	65
220	181	64
221	182	64
222	182	63
223	183	62
224	184	61
225	184	60
226	185	59
227	185	58
228	186	57
229	187	56
230	187	56
231	188	55
232	188	54
233	189	53
234	190	52
235	190	51
236	191	50
237	192	50
238	192	49
239	193	48
240	194	47
241	194	46
242	195	45
243	195	44
244	196	44
245	197	43
246	197	42
247	198	41
248	198	40
249	199	39
250	200	39
251	200	38
252	201	37
253	201	36
254	202	35
255	203	34
256	203	34
257	204	33
258	204	32
259	205	31
260	206	30
261	206	29
262	207	29
263	208	28
264	208	27
265	209	26
266	209	25
267	210	25
268	211	24
269	211	23
270	212	22
271	212	21
272	213	21
273	214	20
274	214	19
275	215	18
276	215	17
277	216	17
278	217	16
279	217	15
280	218	14
281	218	13
282	219	13
283	220	12
284	220	11
285	221	10
286	221	10
287	222	9
288	223	8
289	223	7
290	224	6
291	224	6
292	225	5
293	226	4
294	226	3
295	227	3
296	227	2
297	228	1
298	229	0
299	229	0
