iter	Passed	Remaining
0	47	14110
1	48	7159
2	48	4828
3	49	3659
4	50	2955
5	50	2485
6	51	2150
7	52	1898
8	52	1701
9	53	1544
10	53	1415
11	54	1308
12	55	1217
13	55	1138
14	56	1071
15	57	1011
16	57	959
17	58	912
18	58	871
19	59	833
20	60	799
21	60	768
22	61	739
23	62	713
24	62	689
25	63	666
26	63	645
27	64	626
28	65	608
29	65	591
30	66	576
31	67	561
32	67	547
33	68	534
34	68	521
35	69	510
36	70	498
37	70	488
38	71	477
39	72	468
40	72	458
41	73	450
42	73	441
43	74	433
44	75	425
45	75	418
46	76	410
47	76	403
48	77	397
49	78	390
50	78	384
51	79	378
52	79	372
53	80	366
54	81	361
55	81	356
56	82	350
57	82	345
58	83	341
59	84	336
60	84	331
61	85	327
62	86	323
63	86	319
64	87	315
65	87	311
66	88	307
67	89	303
68	89	300
69	90	296
70	90	293
71	91	289
72	92	286
73	92	283
74	93	279
75	93	276
76	94	273
77	95	270
78	95	267
79	96	265
80	97	262
81	97	259
82	98	256
83	98	254
84	99	251
85	100	248
86	100	246
87	101	243
88	101	241
89	102	238
90	102	236
91	103	234
92	104	231
93	104	229
94	105	227
95	106	225
96	106	223
97	107	220
98	107	218
99	108	216
100	108	214
101	109	212
102	110	210
103	110	208
104	111	206
105	112	205
106	112	203
107	113	201
108	113	199
109	114	197
110	115	195
111	115	194
112	116	192
113	116	190
114	117	189
115	118	187
116	118	185
117	119	184
118	119	182
119	120	180
120	121	179
121	121	177
122	122	176
123	123	174
124	123	173
125	124	171
126	124	170
127	125	168
128	126	167
129	126	165
130	127	164
131	127	162
132	128	161
133	129	159
134	129	158
135	130	156
136	130	155
137	131	154
138	132	152
139	132	151
140	133	150
141	133	148
142	134	147
143	134	146
144	135	144
145	136	143
146	136	142
147	137	141
148	137	139
149	138	138
150	139	137
151	139	136
152	140	134
153	140	133
154	141	132
155	142	131
156	142	130
157	143	128
158	144	127
159	144	126
160	145	125
161	145	124
162	146	123
163	147	121
164	147	120
165	148	119
166	148	118
167	149	117
168	150	116
169	150	115
170	151	114
171	152	113
172	152	112
173	153	110
174	153	109
175	154	108
176	155	107
177	155	106
178	156	105
179	156	104
180	157	103
181	158	102
182	158	101
183	159	100
184	159	99
185	160	98
186	161	97
187	161	96
188	162	95
189	162	94
190	163	93
191	164	92
192	164	91
193	165	90
194	165	89
195	166	88
196	167	87
197	167	86
198	168	85
199	168	84
200	169	83
201	170	82
202	170	81
203	171	80
204	172	79
205	172	78
206	173	77
207	173	76
208	174	75
209	175	75
210	175	74
211	176	73
212	176	72
213	177	71
214	178	70
215	178	69
216	179	68
217	179	67
218	180	66
219	181	65
220	181	64
221	182	64
222	182	63
223	183	62
224	184	61
225	184	60
226	185	59
227	185	58
228	186	57
229	187	56
230	187	56
231	188	55
232	188	54
233	189	53
234	190	52
235	190	51
236	191	50
237	192	50
238	192	49
239	193	48
240	193	47
241	194	46
242	195	45
243	195	44
244	196	44
245	196	43
246	197	42
247	198	41
248	198	40
249	199	39
250	199	39
251	200	38
252	201	37
253	201	36
254	202	35
255	202	34
256	203	34
257	204	33
258	204	32
259	205	31
260	205	30
261	206	29
262	207	29
263	207	28
264	208	27
265	208	26
266	209	25
267	210	25
268	210	24
269	211	23
270	211	22
271	212	21
272	213	21
273	213	20
274	214	19
275	214	18
276	215	17
277	216	17
278	216	16
279	217	15
280	217	14
281	218	13
282	219	13
283	219	12
284	220	11
285	221	10
286	221	10
287	222	9
288	222	8
289	223	7
290	224	6
291	224	6
292	225	5
293	226	4
294	226	3
295	227	3
296	227	2
297	228	1
298	229	0
299	229	0
